151, 2, 1027
151, 2, 1027
206, 11, 1007
234, 22, 1002
306, 48, 996
306, 48, 996
328, 27, 989
382, 37, 973
406, 13, 920
406, 13, 920
411, -48, 838
506, 5, 827
570, 13, 810
570, 13, 810
599, 24, 789
649, 16, 760
706, 15, 725
706, 15, 725
682, 1, 680
725, 49, 635
782, 65, 586
782, 65, 586
805, 26, 575
853, 43, 525
850, 10, 498
850, 10, 498
881, 12, 467
900, 37, 405
908, 29, 410
908, 29, 410
919, 53, 360
933, 47, 344
948, 42, 285
948, 42, 285
966, 27, 227
959, -1, 283
954, 0, 328
954, 0, 328
953, 17, 327
998, 0, 225
990, -2, 145
-,-,-
-22, 60, 1029
59, -1, 1130
59, -1, 1130
20, 21, 1145
7, 47, 1114
55, 80, 1055
55, 80, 1055
76, 40, 1038
143, 10, 983
163, 1, 1001
163, 1, 1001
172, 8, 991
251, 8, 978
251, 8, 978
318, 24, 959
358, 19, 934
386, 14, 902
386, 14, 902
429, 13, 888
465, 14, 906
469, 18, 910
469, 18, 910
500, 16, 865
545, 12, 835
589, 13, 798
589, 13, 798
623, 24, 779
655, 24, 766
673, 34, 746
673, 34, 746
695, 15, 697
730, 0, 640
772, 8, 602
772, 8, 602
805, 0, 568
838, 18, 542
836, 10, 539
836, 10, 539
899, 45, 407
900, 27, 391
905, 24, 379
905, 24, 379
900, 33, 420
936, 11, 335
966, 29, 264
966, 29, 264
975, 32, 240
977, 56, 220
983, 3, 223
983, 3, 223
983, 3, 191
-,-,-
1003, 7, 144
995, 24, 166
997, 16, 74
997, 16, 74
1011, 53, 211
-,-,-
16, 11, 1021
56, 43, 1089
56, 43, 1089
-62, 11, 1061
12, 23, 1065
20, 39, 1060
20, 39, 1060
54, 32, 1047
68, 27, 1052
90, 24, 1022
90, 24, 1022
112, 17, 1028
139, 3, 1011
212, 17, 1017
237, 33, 1019
237, 33, 1019
272, 33, 1015
288, 33, 1013
322, 14, 967
363, 25, 924
363, 25, 924
439, 34, 894
471, 37, 890
534, 50, 880
534, 50, 880
548, 95, 848
564, 61, 785
608, 11, 747
608, 11, 747
658, 15, 713
736, 43, 672
774, 39, 633
774, 39, 633
785, 42, 564
789, -9, 545
823, -4, 494
823, -4, 494
900, 7, 422
918, -1, 346
887, -5, 358
887, -5, 358
913, -59, 355
959, -38, 245
971, -52, 179
973, -2, 165
973, -2, 165
989, 28, 171
1012, 27, 139
1012, 6, 46
1012, 6, 46
1031, 58, 95
1037, 48, 76
-,-,-
19, 1, 1002
19, 1, 1002
-26, 36, 1038
-29, 33, 1129
-2, 17, 1060
-2, 17, 1060
6, 6, 1119
67, 48, 1006
64, 44, 1058
64, 44, 1058
82, 19, 1054
126, 17, 1034
157, 21, 1021
157, 21, 1021
192, 7, 1017
236, 10, 984
287, 27, 976
327, -2, 975
327, -2, 975
380, 24, 967
396, 13, 925
432, 14, 900
432, 14, 900
486, 10, 844
550, 18, 802
607, 34, 758
607, 34, 758
663, 34, 724
690, 32, 697
710, 52, 677
710, 52, 677
742, 4, 637
772, -5, 598
802, 3, 555
802, 3, 555
831, 10, 522
865, 13, 477
865, 13, 477
898, 15, 425
905, 18, 392
911, 15, 377
911, 15, 377
920, 1, 363
942, 8, 329
969, 12, 220
969, 12, 220
972, 37, 199
973, 62, 258
982, 33, 224
982, 33, 224
985, 5, 273
1014, 18, 128
1033, 30, 91
-,-,-
-9, 25, 1019
-23, 42, 1095
12, 38, 1136
11, 70, 1071
11, 70, 1071
76, 59, 1173
56, 16, 1017
98, 75, 1039
135, 42, 1012
135, 42, 1012
171, 15, 1002
206, 11, 1005
245, 4, 961
245, 4, 961
315, 1, 952
362, -10, 953
445, 17, 927
445, 17, 927
461, 34, 894
475, 6, 848
522, -6, 815
522, -6, 815
580, 0, 774
647, 20, 734
683, 32, 725
683, 32, 725
711, 3, 703
716, -4, 688
739, 11, 644
739, 11, 644
772, 17, 591
793, 2, 576
793, 2, 507
860, 12, 507
862, 16, 492
870, 0, 475
870, 0, 475
886, 14, 451
902, 15, 423
931, -3, 365
931, -3, 365
914, 28, 404
